Win,WardsPlaced,WardsDestroyed,Dragons,Heralds,TowersDestroyed,TotalMinionsKilled,TotalJungleMinionsKilled
1.0,0.068,0.1111111111111111,1.0,0.0,0.0,0.8833922261484098,0.6739130434782609
1.0,0.048,0.07407407407407407,1.0,0.0,0.0,0.6749116607773852,0.6521739130434783
1.0,0.056,0.07407407407407407,1.0,0.0,0.0,0.6925795053003534,0.34782608695652173
1.0,0.08,0.1111111111111111,0.0,0.0,0.0,0.8197879858657244,0.5434782608695652
1.0,0.056,0.18518518518518517,1.0,0.0,0.0,0.7773851590106007,0.6521739130434783
1.0,0.068,0.07407407407407407,1.0,0.0,0.0,0.6325088339222615,0.45652173913043476
0.0,0.072,0.037037037037037035,1.0,1.0,0.0,0.7597173144876325,0.6956521739130435
0.0,0.06,0.18518518518518517,0.0,0.0,0.0,0.8197879858657244,0.5760869565217391
0.0,0.064,0.0,0.0,0.0,0.0,0.8303886925795053,0.41304347826086957
1.0,0.068,0.2222222222222222,1.0,0.0,0.0,0.8692579505300353,0.33695652173913043
0.0,0.056,0.037037037037037035,0.0,0.0,0.0,0.8515901060070671,0.6413043478260869
0.0,0.152,0.037037037037037035,0.0,0.0,0.0,0.6113074204946997,0.5217391304347826
0.0,0.068,0.18518518518518517,0.0,1.0,0.0,0.8657243816254417,0.6413043478260869
1.0,0.072,0.1111111111111111,1.0,0.0,0.0,0.8374558303886925,0.5652173913043478
1.0,0.06,0.07407407407407407,1.0,0.0,0.0,0.734982332155477,0.6521739130434783
0.0,0.052,0.1111111111111111,1.0,1.0,0.0,0.6219081272084805,0.6086956521739131
0.0,0.056,0.07407407407407407,0.0,0.0,0.0,0.5724381625441696,0.5217391304347826
0.0,0.06,0.037037037037037035,1.0,0.0,0.0,0.6713780918727915,0.5543478260869565
1.0,0.056,0.0,0.0,0.0,0.0,0.7526501766784452,0.6956521739130435
1.0,0.056,0.25925925925925924,1.0,0.0,0.0,0.8869257950530035,0.6847826086956522
1.0,0.072,0.037037037037037035,1.0,0.0,0.0,0.6148409893992933,0.5217391304347826
0.0,0.048,0.07407407407407407,0.0,0.0,0.0,0.7985865724381626,0.391304347826087
0.0,0.064,0.1111111111111111,1.0,0.0,0.0,0.7385159010600707,0.5108695652173914
0.0,0.092,0.1111111111111111,0.0,1.0,0.25,0.8904593639575972,0.6956521739130435
0.0,0.096,0.037037037037037035,0.0,1.0,0.0,0.833922261484099,0.6521739130434783
0.0,0.072,0.07407407407407407,1.0,0.0,0.0,0.7773851590106007,0.5434782608695652
1.0,0.072,0.07407407407407407,0.0,0.0,0.0,0.8445229681978799,0.358695652173913
1.0,0.06,0.07407407407407407,0.0,0.0,0.0,0.607773851590106,0.34782608695652173
0.0,0.068,0.07407407407407407,1.0,0.0,0.0,0.7067137809187279,0.5217391304347826
1.0,0.076,0.1111111111111111,0.0,0.0,0.0,0.6925795053003534,0.5217391304347826
0.0,0.28,0.4074074074074074,0.0,1.0,0.0,0.7137809187279152,0.5108695652173914
1.0,0.18,0.2222222222222222,0.0,0.0,0.0,0.872791519434629,0.6521739130434783
1.0,0.136,0.18518518518518517,0.0,0.0,0.0,0.8374558303886925,0.6086956521739131
1.0,0.064,0.14814814814814814,0.0,0.0,0.0,0.6007067137809188,0.5869565217391305
1.0,0.044,0.1111111111111111,1.0,0.0,0.0,0.7879858657243817,0.6847826086956522
0.0,0.06,0.14814814814814814,0.0,0.0,0.0,0.7208480565371025,0.6086956521739131
0.0,0.052,0.18518518518518517,0.0,0.0,0.0,0.6925795053003534,0.4782608695652174
1.0,0.072,0.0,1.0,0.0,0.0,0.6784452296819788,0.5652173913043478
1.0,0.04,0.1111111111111111,1.0,0.0,0.0,0.6395759717314488,0.6521739130434783
1.0,0.152,0.18518518518518517,1.0,0.0,0.0,0.8445229681978799,0.5978260869565217
0.0,0.064,0.07407407407407407,1.0,1.0,0.0,0.6643109540636042,0.6413043478260869
0.0,0.076,0.0,0.0,0.0,0.0,0.5371024734982333,0.44565217391304346
0.0,0.196,0.1111111111111111,0.0,0.0,0.0,0.7879858657243817,0.6086956521739131
0.0,0.06,0.07407407407407407,1.0,0.0,0.0,0.7773851590106007,0.5652173913043478
